Suburb	Council_Area
Clematis 	Yarra Ranges S  
Clifton Creek 	East Gippsland S  
Clifton Hill 	Yarra C  
Clifton Springs 	Greater Geelong C  
Clonbinane 	Mitchell S  
Clover Flat 	Glenelg S  
Clover Flat 	Southern Grampians S  
Cloverlea 	Baw Baw S  
Club Terrace 	East Gippsland S  
Clunes 	Hepburn S  
Clyde 	Casey C  
Clyde North 	Casey C  
Clydebank 	Wellington S  
Clydesdale 	Hepburn S  
Coalville 	Baw Baw S  
Coatesville 	Glen Eira C  
Cobains 	Wellington S  
Cobaw 	Macedon Ranges S  
Cobbannah 	East Gippsland S  
Cobberas 	East Gippsland S  
Cobden 	Corangamite S  
Cobram 	Moira S  
Cobram East 	Moira S  
Cobrico 	Corangamite S  
Cobungra 	Alpine S  
Cobungra 	East Gippsland S  
Coburg 	Darebin C  
Coburg 	Moreland C  
Coburg North 	Darebin C  
Coburg North 	Moreland C  
Cocamba 	Swan Hill RC  
Cochranes Creek 	Loddon S  
Cockatoo 	Cardinia S  
Cocoroc 	Wyndham C  
Codrington 	Moyne S  
Coghills Creek 	Ballarat C  
Cohuna 	Gannawarra S  
Coimadai 	Moorabool S  
Cokum 	Buloke S  
Colac 	Colac Otway S  
Colac Colac 	Towong S  
Colac East 	Colac Otway S  
Colac West 	Colac Otway S  
Colbinabbin 	Campaspe S  
Colbrook 	Moorabool S  
Coldstream 	Yarra Ranges S  
Coleraine 	Southern Grampians S  
Colignan 	Mildura RC  
Collingwood 	Yarra C  
Colliver 	Greater Shepparton C  
Combienbar 	East Gippsland S  
Concongella 	Northern Grampians S  
Condah 	Glenelg S  
Condah Swamp 	Moyne S  
Congupna 	Greater Shepparton C  
Connewarre 	Greater Geelong C  
Connewarre 	Surf Coast S  
Connewirrecoo 	West Wimmera S  
Coojar 	Southern Grampians S  
Coolaroo 	Hume C  
Cooma 	Greater Shepparton C  
Coomboona 	Greater Shepparton C  
Coomoora 	Hepburn S  
Coongulla 	Wellington S  
Coonooer Bridge 	Buloke S  
Coonooer Bridge 	Loddon S  
Coonooer Bridge 	Nthn Grampians S  
Coonooer West 	Nthn Grampians S  
Coopers Creek 	Baw Baw S  
Cooriemungle 	Corangamite S  
Cope Cope 	Buloke S  
Cope Cope 	Northern Grampians S  
Cora Lynn 	Cardinia S  
Corack 	Buloke S  
Corack East 	Buloke S  
Coragulac 	Colac Otway S  
Coral Bank 	Alpine S  
Corindhap 	Golden Plains S  
Corinella 	Bass Coast S  
Corio 	Greater Geelong C  
Corndale 	Glenelg S  
Cornella 	Campaspe S  
Cornishtown 	Indigo S  
Coronet Bay 	Bass Coast S  
Corop 	Campaspe S  
Cororooke 	Colac Otway S  
Corringle 	East Gippsland S  
Corryong 	Towong S  
Corunnun 	Colac Otway S  
Cosgrove 	Greater Shepparton C  
Cosgrove South 	Gr Shepparton C  
Costerfield 	Greater Bendigo C  
Cotham 	Boroondara C  
Cotswold 	Central Goldfields S  
Cottles Bridge 	Nillumbik S  
Cowa 	Wellington S  
Cowangie 	Mildura RC  
Cowes 	Bass Coast S  
Cowleys Creek 	Corangamite S  
Cowwarr 	Latrobe C  
Cowwarr 	Wellington S  
Craigie 	Central Goldfields S  
Craigieburn 	Hume C  
Cranbourne 	Casey C  
Cranbourne East 	Casey C  
Cranbourne North 	Casey C  
Cranbourne South 	Casey C  
Cranbourne West 	Casey C  
Creek Junction 	Benalla RC  
Creek Junction 	Mansfield S  
Creek Junction 	Strathbogie S  
Creek View 	Campaspe S  
Creighton 	Strathbogie S  
Creightons Creek 	Strathbogie S  
Cresmorne 	Yarra C  
Cressy 	Colac Otway S  
Cressy 	Corangamite S  
Cressy 	Golden Plains S  
Creswick 	Ballarat C  
Creswick 	Hepburn S  
Creswick North 	Hepburn S  
Crib Point 	Mornington Peninsula S  
Cromer 	Bayside C  
Crookayan 	Wellington S  
Crooked River 	Wellington S  
Cross Roads 	Pyrenees S  
Crossley 	Moyne S  
Crossover 	Baw Baw S  
Crowlands 	Ararat RC  
Crowlands 	Northern Grampians S  
Crowlands 	Pyrenees S  
Croxton East 	Southern Grampians S  
Croydon 	Maroondah C  
Croydon Hills 	Maroondah C  
Croydon North 	Maroondah C  
Croydon South 	Maroondah C  
Crymelon 	Hindmarsh S  
Crymelon 	Yarriambiack S  
Cudgee 	Moyne S  
Cudgewa 	Towong S  
Culgoa 	Buloke S  
Culla 	Southern Grampians S  
Cullen 	Gannawarra S  
Cullulleraine 	Mildura RC  
Cundare 	Colac Otway S  
Cundare North 	Colac Otway S  
Cundare North 	Corangamite S  
Curdie Vale 	Corangamite S  
Curdie Vale 	Moyne S  
Curdies River 	Corangamite S  
Curlewis 	Greater Geelong C  
Curyo 	Buloke S  
Dadswells Bridge 	Horsham RC  
Dadswells Bridge 	Nthn Grampians S  
Daisy Hill 	Central Goldfields S  
Dales Creek 	Moorabool S  
Dallas 	Hume C  
Dalmore 	Cardinia S  
Daltons Bridge 	Gannawarra S  
Dalyenong (-)	Northern Grampians S  
Dalyston 	Bass Coast S  
Dandenong 	Greater Dandenong C  
Dandenong North 	Gr Dandenong C  
Dandenong South 	Gr Dandenong C  
Dandongadale 	Alpine S  
Dargo 	Alpine S  
Dargo 	Wellington S  
Darkbonee 	Northern Grampians S  
Darley 	Moorabool S  
Darlimurla 	Latrobe C  
Darlimurla 	South Gippsland S  
Darlington 	Corangamite S  
Darlington 	Moyne S  
Darnum 	Baw Baw S  
Darraweit Guim 	Macedon Ranges S  
Darriman 	Wellington S  
Dartmoor 	Glenelg S  
Dartmouth 	East Gippsland S  
Dartmouth 	Towong S  
Dawson 	Wellington S  
Daylesford 	Hepburn S  
Dean 	Hepburn S  
Deans Marsh 	Surf Coast S  
Deddick Valley 	East Gippsland S  
Dederang 	Alpine S  
Deep Lead 	Northern Grampians S  
Deer Park 	Brimbank C  
Delacombe 	Ballarat C  
Delahey 	Brimbank C  
Delatite 	Mansfield S  
Delburn 	Baw Baw S  
Delburn 	Latrobe C  
Delburn 	South Gippsland S  
Delegate River East 	  East Gippsland S  
Dellicknora 	East Gippsland S  
Dendy 	Bayside C  
Denicull Creek 	Ararat RC  
Denison 	Wellington S  
Dennington 	Moyne S  
Dennington 	Warrnambool C  
Denver 	Hepburn S  
Denver 	Macedon Ranges S  
Deptford 	East Gippsland S  
Derby 	Loddon S  
